comando	label_ribbon	form_dialogo	hint	descrizione
!CdCvCombScale	Modify Curvature Scale		Modify curvature scale.	Modify the display scale factor and density of the curvature combs.
!CdCvCombTeeth	Curvature Plot	CdCvCombTeeth	Draw curvature plot of a curve in comb-teeth style	The length of each line segment illustrates curvature at that point on the curve. It helps to visualize overall curvature across a curve or edge.
!CdCvConcat	Concatenate	CdCvConcat	Concatenate a list of curves	Create a curve by concatenating a chain of existing curves. The existing curves must connect end-to-end. The original curves are deleted unless they belong to a sketch.
!CdCvConsDelAll	Delete G1/G2 Constaints		Delete all of the G1 and G2 constraints on the curve.	
!CdCvCp	Control Point	CdCvCp	Create a curve using control points	Create a curve by defining a series of control points. The curve will begin and end at the first and last control points.The points in between will control the curve&apos;s shape.
!CdCvCp3D	Control Point	CdCvCp3D	Create a curve using control points	Create a curve by defining a series of control points. The curve will begin and end at the first and last control points.The points in between will control the curve&apos;s shape.
!CdCvCp3DPrf	Control Point	CdCvCp3DPrf	Create a curve using control points	Create a curve by defining a series of control points. The curve will begin and end at the first and last control points.The points in between will control the curve&apos;s shape.
!CdCvCpDraw	Control Polygon	CdCvCpDraw	Draw control polygon of curve	Select the curve to display its control polygon. Then set the display method. Display the curve’s control points, control polygon or points and polygon together.
!CdCvCrnrTrim	Trim/Extend to Corner	CdCvCrnrTrim	Make a corner from two 3d curves	Trim or extend two curves (C1)(C2) to each other forming a corner.
!CdCvDegAscend	Deg.++		Curve degree ascending.	
!CdCvDegDecend	Deg.--		Curve degree decending.	
!CdCvEdg	Curve from Edge	CdCvEdg	Create curve from edge	Create curves from an existing face edges.
!CdCvExtnd	Trim/Extend	CdCvExtnd	Extend curve	Trim or extend a wireframe curve or face edge by a specified length.
!CdCvInqCombOO	Analyze	CdCvInqCombOO	Draw curvature plot of a curve in comb-teeth style	The plot is displayed as line segments projecting out perpendicular from the curves. The length of each line segment illustrates curvature at that point on the curve.
!CdCvInsKt	Insert Knot	CdCvInsKt	Insert knot in curve	Insert a knot (i.e., control point) at a specified parameter value along a selected curve. Optionally, you can pick a point on the curve to insert a knot.
!CdCvInt	Point Curve	CdCvInt	Create a curve through points	Create a curve by defining a series of points through which the curve will pass.
!CdCvInt2	Point Curve	CdCvInt2	Create a curve through points	Create a curve by defining a series of points through which the curve will pass.
!CdCvInt3D	Through Point Curve	CdCvInt3D	Create a curve through points	Create a curve by defining a series of points through which the curve will pass.
!CdCvInt3D2	Through Point Curve	CdCvInt3D2	Create a curve through points	Create a curve by defining a series of points through which the curve will pass.
!CdCvInt3DPrf	Through Point Curve	CdCvInt3DPrf	Create a curve through points	Create a curve by defining a series of points through which the curve will pass.
!CdCvIntClose	Close Curve		Close the open interpolation curve.	
!CdCvIntPntIns	Insert Curve Point		Insert an interpolation point on the curve.	
!CdCvIntToCV	Convert to CV Curve		Convert the interpolation curve to the control vertexes curve.	
!CdCvModII	Modify	CdCvModII	Activate a curve for local modification	Local means that the modification to the selected point will be localized and not distributed along the entire curve. You can modify the position, tangency and radius of curvature for any point on the curve.
!CdCvModII3D	Modify	CdCvModII3D	Activate a curve for local modification	Local means that the modification to the selected point will be localized and not distributed along the entire curve. You can modify the position, tangency and radius of curvature for any point on the curve.
!CdCvModII3DPrf	Modify	CdCvModII3DPrf	Activate a curve for local modification	Local means that the modification to the selected point will be localized and not distributed along the entire curve. You can modify the position, tangency and radius of curvature for any point on the curve.
!CdCvNN	Point Cloud Curve	CdCvNN	Create a curve through point cloud	Select the start point and the remaining points on the curve.
!CdCvNN3D	Point Cloud Curve	CdCvNN3D	Create a curve through point cloud	Select the start point and the remaining points on the curve.
!CdCvNN3DPrf	Point Cloud Curve	CdCvNN3DPrf	Create a curve through point cloud	Select the start point and the remaining points on the curve.
!CdCvOffAll	Offset	CdCvOffAll	Offset curves	Create a curve that is offset from a curve, chain of curves, or face edge.
!CdCvOffAll3DPrf	Offset	CdCvOffAll3DPrf	Offset curves	Create a curve that is offset from a curve, chain of curves, or face edge.
!CdCvProjSrf2	Project to Face	CdCvProjSrf2	Project curves onto faces	Project curves or a sketch onto faces and datum planes. By default, the curve is projected normal to the faces or planes.
!CdCvReduce	Reduce Data	CdCvReduce	Reduce number of control points	Remove many curve imperfections by reducing the total number of knots (i.e., control points) and thus eliminating offending knots. This command is ideal for simplifying problematic curves imported from other CAD systems.
!CdCvRefit	Cubic Refit	CdCvRefit	Refit a list of curves	Perform a cubic refit of one or more curves. This command replaces the subject curves with non-rational approximations with fewer control points.
!CdCvReverse	Reverse Curve		Reverse the specified curve.	
!CdCvSSi	InterX Curve	CdCvSSi	Create curves from face/shape intersection	Create a curve or curves at the intersection of two or more faces, open shapes, or solids.
!CdCvSmooth	Smooth Curve	CdCvSmooth	Smooth a curve	Remove unwanted imperfections in a curve. It involves the redeployment of control points. Some points are allowed to move freely while others are constrained.
!CdCvSpiral2D	Spiral Curve	CdCvSpiral2D	Create spiral curve	Create a curve that spirals about an axis. A start point (P) and the axis (A) will define the diameter of the spiral. The number of turns and the total distance (S) to travel is also specified.
!CdCvSpiral2D2	Spiral Curve	CdCvSpiral2D2	Create spiral curve	Create a curve that spirals about an axis. A start point (P) and the axis (A) will define the diameter of the spiral. The number of turns and the total distance (S) to travel is also specified.
!CdCvSplitTrim	Trim/Split at Point	CdCvSplitTrim	Split/trim a curve	You can select multiple segments to keep or just split the curve. Select a curve (C) to trim or break, trim/break points (P) on or near the curve and the segments (L) to keep or middle-click to split the curve.
!CdCvTrm2Face	Trim to Faces	CdCvTrm2Face	Trim curves to face boundary	Trim curves or sketches to a face.
!CdDeCopy	DE Copy	CdDeCopy	Direct edit copy face	Copy faces. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdDeMove	DE Move	CdDeMove	Direct edit move face	Move faces. Various methods are supported including directions, points and frames (i.e., datum planes or planar faces).
!CdDelAllPrtCfg	Delete All		Remove All Part Config	
!CdDelTinyEdgs	Check Edge	CdDelTinyEdgs	Check/delete tiny edges	Check for and delete tiny edges whose curve lengths are smaller than a specified tolerance and that are not required to define the topology of the active part.
!CdDelTrace	Delete Trace Profile	CdDelTrace	Delete trace profile	Delete a trace profile in the active sketch.
!CdDeletePrtCfg	Delete		Delete Part Config	
!CdDimAngFtr	Angular	CdDimAngFtr	Create a 2 entity angular dimension	Create an angular part annotation dimension between two lines. You are prompted for the default plane for the dimension.
!CdDimBlnMove	Move Balloons		Move Balloons	
!CdDimLnFtr	Linear	CdDimLnFtr	Create a linear dimension between points	Create a linear part annotation dimension between two points. The default plane is defined by the text point.
!CdDimModTxtPt	Move Text	CdDimModTxtPt	Modify dimension text point	
!CdDirFaceFlow	Face Acceleration			
!CdDirFaceKrv	Face Curvature			
!CdDirFaceNorm	Face Normal	CdDirFaceNorm	Direction along face normal	
!CdDirFaceTan	Face Tangent			
!CdDirOnFace	On Face	CdDirOnFace	Direction along point on face	
!CdDispAsPMI	Convert to PMI		Convert to PMI	
!CdDragDtm	Drag Datum	CdDragDtm	Drag a datum along direction	
!CdDrawRegionDel	Erase		Delete drawing region	
!CdDrawRegionMod	Edit		Edit drawing region	
!CdDrawingActive	Activate	CdDrawingActive	Activate	
!CdDrawingAttr	Attributes	CdDrawingAttr	Set sheet attributes	
!CdDrawingCopy	Copy	CdDrawingCopy	Copy to clipboard	
!CdDrawingDel	Erase	CdDrawingDel	Erase	
!CdDrawingFmAttr	Sheet Format Attributes	CdDrawingFmAttr	Set sheet format attributes	
!CdDrawingFmDel	Erase	CdDrawingFmDel	Delate Sheet format	
!CdDrawingFmEdit	Edit	CdDrawingFmEdit	Edit	
!CdDrawingNew	Insert Sheet	CdDrawingNew	Insert Sheet	
!CdDrawingPaste	Paste	CdDrawingPaste	Paste from clipboard	
!CdDrawingRegion	Add View Layout Region	CdDrawingRegion	Add view layout region	
!CdDst2All	Distance	CdDst2All	Measure distance between two geometric entities	You can measure between points and other entities.
!CdDst2AllChld	Distance	CdDst2AllChld	Measure distance between two geometric entities	
!CdDstAll	Distance	CdDstAll	Measure distance between two geometric entities	
!CdDstAllChld	Distance	CdDstAllChld	Measure distance between two geometric entities	
!CdDstAllCm	Distance	CdDstAllCm	Measure distance between two geometric entities	
!CdDtmFixedSize	Fixed Size	CdDtmFixedSize	Fixed Size	
!CdDtmShowDim	Show Datum Dimension	CdDtmShowDim	Show datum dimensions	
!CdDtmSketch	New Sketch	CdDtmSketch	Create new sketch on plane	
!CdDwgDel	Delete Sheet	CdDwgDel	Delete drawing sheets	
!CdDwgLim	Use Line Limits		Line limits ON/OFF	
!CdDwgLimSet	Set Line Limits	CdDwgLimSet	Define and enable construction limits	Set the limits of lines. For example, horizontal and vertical lines will not extend beyond the set limits.
!CdDwgOrigin	Origin	CdDwgOrigin	Set drawing origin for coordinate input	Set the active drawing sheet origin. This origin becomes the new reference origin for all coordinate input.
!CdDwgRename	Rename	CdDwgRename	Rename drawing component	
!CdDxPlnExpFile	Export DWG/DXF		Export DWG/DXF	Export DWG/DXF
!CdDynSection	Section	CdDynSection	View dynamic section	This is very convenient when you need to work on areas of a part that are not readily visible in Wireframe Display Mode or Hidden Line Display Mode.
!CdDynSectionCm	Section	CdDynSectionCm	Create planar section feature	This is very convenient when you need to work on areas of a part that are not readily visible in Wireframe Display Mode or Hidden Line Display Mode.
!CdEcadCutRgn	Region Cut	CdEcadCutRgn	Region cut	Select a polygon or profile to cut on the shape. It used to cut a region for the design of ECAD or MCAD.
!CdEcadExport	Export IDF		Export IDF data	Export EMN and EMP file.
!CdEcadHoleAtMod	Add Hole Attribute		Add hole attribute	
!CdEcadSetRgn	Region Set	CdEcadSetRgn	Region set	Select the polygon or profile to flag. It used to create a wide region for the design of ECAD or MCAD.
!CdEditAllPrtCfg	Config Table		Edit all part configs	
!CdEditBlock2d	Edit Block		Edit a block	
!CdEditCompPart	Edit	CdEditCompPart	Edit component part	This command activates an existing component for editing. This is the same as right-clicking on a component and selecting Edit Part.
!CdEditImportFtr	Edit Import Path			
!CdEditProf2	Activate Sketch	CdEditProf2	Activate sketch for editing	
!CdEditPrtCfg	Edit		Edit Part Config	
!CdEdmTblCrt	Electrode	CdEdmTblCrt	Create an electrode table from view object	Create an electrode table and place it in the Table Manager. The table is based on a layout view that contains features created from the Electrode Blank command in its associated part.
