comando	label_ribbon	form_dialogo	hint	descrizione
ID_!DmAll3DPrf	Sketch			
ID_!DmAng3D	Sketch			
ID_!DmArc	Dimension			
ID_!DmBalloon	Dimension			
ID_!DmChmf	Dimension			
ID_!DmDatum	Dimension			
ID_!DmDatumTc	Dimension			
ID_!DmElevation	Dimension			
ID_!DmFCS	Dimension			
ID_!DmIntsectSym	Dimension			
ID_!DmLabel	Dimension			
ID_!DmLabelOrd	Dimension			
ID_!DmModDogLeg	Dimension			
ID_!DmModTol	Dimension			
ID_!DmNotToScale	Inquire			
ID_!DmOff	Dimension			
ID_!DmPerimeter	Sketch			
ID_!DmRadDia	Dimension			
ID_!DmRefToggle	Dimension			
ID_!DmRotCenter	Dimension			
ID_!DmShowModelDim	Dimension			
ID_!DmSym	Dimension			
ID_!DmSym3D	Sketch			
ID_!FtAllExt	Shape			
ID_!FtAllRev	Shape			
ID_!FtAllSub	Electrode			
ID_!FtAssemChamfers	Assembly			
ID_!FtAssemCut4	Assembly			
ID_!FtAssemFillet	Assembly			
ID_!FtAssemHole	Assembly			
ID_!FtBridgeSrf	Free Form			
ID_!FtChamfers2	Weldments			
ID_!FtCrTrimPln	Free Form			
ID_!FtDeDraft	Direct Edit			
ID_!FtDeMirror	Direct Edit			
ID_!FtDeOffset	Direct Edit			
ID_!FtDePtn	Direct Edit			
ID_!FtDivFcsToCvs	Heal			
ID_!FtDome	Free Form			
ID_!FtDraftAngChk	Inquire			
ID_!FtEdMerge	Heal			
ID_!FtEdSplit	Heal			
ID_!FtExtStock2	Shape			
ID_!FtFlltSrfSets	Free Form			
ID_!FtGapFill	Heal			
ID_!FtHoleMain	Weldments			
ID_!FtPtnElectrode	Electrode			
ID_!FtSelfX	Shape			
ID_!FtSfInvert	Heal			
ID_!FtSfMeshProf1	Free Form			
ID_!FtSfNPatch	Free Form			
ID_!FtSfSplit	Heal			
ID_!FtSfUntrim	Heal			
ID_!FtShell1	Shape			
ID_!FtSlot	Shape			
ID_!FtSmtSrf	Free Form			
ID_!FtSpatula	Shape			
ID_!FtThicken	Shape			
ID_!FtWrapPtn	Shape			
ID_!FtWrapShp	Shape			
ID_!HarnessModify	Harness	HarnessModify		
ID_!HarnessRoute	Harness	HarnessRoute		
