funzione	header	riga	deprecated	firma
ZwCamProfFeatStartElementGet	zwapi_cm_ftr.h	270		ezwErrors ZwCamProfFeatStartElementGet(int featIdx, szwEntityHandle *startElement, svxAxis *startAxis)
ZwCamShapeFaceListGet	zwapi_cm_query.h	134		ezwErrors ZwCamShapeFaceListGet(svxEntPath shape, int *faceCount, svxEntPath **faceList)
ZwCamSlotFeatDataGet	zwapi_cm_ftr.h	286		ezwErrors ZwCamSlotFeatDataGet(int feat_idx, szwCamFtrSlotAttr *slotAttr)
ZwCamSlotFeatDataSet	zwapi_cm_ftr.h	290		ezwErrors ZwCamSlotFeatDataSet(int feat_idx, const szwCamFtrSlotAttr *slotAttr)
ZwCamStockBlockAdd	zwapi_cm_comp.h	101		ezwErrors ZwCamStockBlockAdd(szwEntityHandle compHandle, szwCamBlockStockData stockData, szwEntityHandle *stockEntHandle)
ZwCamStockCylinderAdd	zwapi_cm_comp.h	98		ezwErrors ZwCamStockCylinderAdd(szwEntityHandle compHandle, szwCamCylinderStockData stockData, szwEntityHandle *stockEntHandle)
ZwCamToolCreate	zwapi_cm_tool.h	174		ezwErrors ZwCamToolCreate(ezwCamToolSubType toolSubType, int *toolIdx)
ZwCamToolDoubleGet	zwapi_cm_tool_param.h	30		ezwErrors ZwCamToolDoubleGet(int toolIdx, ezwCamToolParam param, double *value)
ZwCamToolDoubleSet	zwapi_cm_tool_param.h	14		ezwErrors ZwCamToolDoubleSet(int toolIdx, ezwCamToolParam param, double value)
ZwCamToolExportAllToLibrary	zwapi_cm_tool.h	161		ezwErrors ZwCamToolExportAllToLibrary(const vxLongPath library_path, const vxLongName file_name)
ZwCamToolInsertFromLibrary	zwapi_cm_tool.h	154		ezwErrors ZwCamToolInsertFromLibrary(const vxLongPath library_path, const vxLongName file_name, const vxLongName tool_name, int *idx_tool)
ZwCamToolIntGet	zwapi_cm_tool_param.h	33		ezwErrors ZwCamToolIntGet(int toolIdx, ezwCamToolParam param, int *value)
ZwCamToolIntSet	zwapi_cm_tool_param.h	21		ezwErrors ZwCamToolIntSet(int toolIdx, ezwCamToolParam param, int value)
ZwCamToolObjGet	zwapi_cm_tool_param.h	39		ezwErrors ZwCamToolObjGet(int toolIdx, ezwCamToolParam param, void *objPtr)
ZwCamToolObjSet	zwapi_cm_tool_param.h	27		ezwErrors ZwCamToolObjSet(int toolIdx, ezwCamToolParam param, void *objPtr)
ZwCamToolStrGet	zwapi_cm_tool_param.h	36		ezwErrors ZwCamToolStrGet(int toolIdx, ezwCamToolParam param, char *str, int strSize)
ZwCamToolStrSet	zwapi_cm_tool_param.h	24		ezwErrors ZwCamToolStrSet(int toolIdx, ezwCamToolParam param, const char *str)
ZwCamToolUserDefDataGet	zwapi_cm_tool.h	171		ezwErrors ZwCamToolUserDefDataGet(int toolIdx, int *layerCnt, szwCamUserDefToolLayerData **layerData)
ZwCamToolUserDefDataSet	zwapi_cm_tool.h	168		ezwErrors ZwCamToolUserDefDataSet(int toolIdx, int layerCnt, szwCamUserDefToolLayerData *layerData)
ZwCamToolUserDefDataSetByWire	zwapi_cm_tool.h	165		ezwErrors ZwCamToolUserDefDataSetByWire(int toolIdx, int layerCnt, szwCurve *curves)
ZwCamToolUserProfDataCreateByWire	zwapi_cm_tool.h	177		ezwErrors ZwCamToolUserProfDataCreateByWire(int curveCnt, const szwEntityHandle *curveList, int *toolIdx)
ZwCamToolUserProfDataSetByWire	zwapi_cm_tool.h	180		ezwErrors ZwCamToolUserProfDataSetByWire(int toolIdx, int curveCnt, const szwEntityHandle *curveList)
ZwCamTpathMotionsInq	zwapi_cm_tpath.h	30		ezwErrors ZwCamTpathMotionsInq(int idxOp, int *iMotionCnt, szwCamTpathMotion **pzMotions)
ZwCamTreeRefresh	zwapi_cm_query.h	112		ezwErrors ZwCamTreeRefresh(void)
ZwCamTriObjImport	zwapi_cm_forms.h	149		ezwErrors ZwCamTriObjImport(const char *path, ezwColor color, int *idOut)
ZwCamTriObjPreview	zwapi_cm_forms.h	152		ezwErrors ZwCamTriObjPreview(int objId, const szwMatrix *pzMat, void *ohEcho)
